,0
vh_CDR2_hydrophobic,0.14772417830080092
vl_CDR3_aromatic,0.12986993479170839
vl_FR1_length,-0.09822208778158464
vh_CDR2_aromatic,0.08876676861702146
vh_FR1_glycine,0.08860612658726716
vl_FR3_aromatic,0.08850799681244208
vh_FR4_charge,-0.08752852470621424
vh_CDR1_hydrophobic,0.08569820794639228
vl_FR3_glycine,0.08234063669300476
vh_CDR3_hydrophobic,0.08041157778970452
vh_CDR3_aromatic,0.07963298618797332
vh_CDR3_charge,-0.07744435827736176
vh_FR3_hydrophobic,0.07174194203452434
vl_FR1_proline,0.07089638295827687
vl_CDR2_glycine,0.06598778985199062
