Representation,Feature,Fold,Coefficient
Region,vh_CDR2_hydrophobic,4,0.09359536140962232
Region,vl_CDR3_aromatic,4,0.05863663199071331
Region,vl_FR1_length,4,-0.1431615878199014
Region,vh_CDR2_aromatic,4,0.08491970592644024
Region,vh_FR1_glycine,4,0.0955087048030909
Region,vl_FR3_aromatic,4,0.06796920532807899
Region,vh_FR4_charge,4,-0.05148247238336252
Region,vh_CDR1_hydrophobic,4,0.0756037286517984
Region,vl_FR3_glycine,4,0.08488892027966913
Region,vh_CDR3_hydrophobic,4,0.08081817663307334
Region,vh_CDR3_aromatic,4,0.08056631306867418
Region,vh_CDR3_charge,4,-0.08659423587187344
Region,vh_FR3_hydrophobic,4,0.07291994876602198
Region,vl_FR1_proline,4,0.011167305803530059
Region,vl_CDR2_glycine,4,0.05839370333541193
Structure,surface_hydrophobicity,0,0.1282880317468701
Structure,surface_aromaticity,0,0.07239377160188931
Structure,surface_charge,0,-0.03237692765988054
Structure,surface_polarity,0,0.03410671182068985
Structure,total_sasa,0,0.022395601941086887
Structure,surface_hydrophobicity,1,0.14426036779143603
Structure,surface_aromaticity,1,0.05119171592595615
Structure,surface_charge,1,-0.05355043358185185
Structure,surface_polarity,1,0.028825502848688376
Structure,total_sasa,1,0.030563226854683278
Structure,surface_hydrophobicity,2,0.16421201729949308
Structure,surface_aromaticity,2,0.04917058701347934
Structure,surface_charge,2,-0.03384806295810048
Structure,surface_polarity,2,0.05900452213880928
Structure,total_sasa,2,0.010537618282195202
Structure,surface_hydrophobicity,3,0.12029796677516641
Structure,surface_aromaticity,3,0.06281897828927539
Structure,surface_charge,3,-0.03460365539568907
Structure,surface_polarity,3,0.027021624103266688
Structure,total_sasa,3,-2.3853091515146152e-05
Structure,surface_hydrophobicity,4,0.10672856272019009
Structure,surface_aromaticity,4,0.06364431986977503
Structure,surface_charge,4,-0.0453378965230956
Structure,surface_polarity,4,0.04213899205552772
Structure,total_sasa,4,0.02225821223807907
