Representation,Feature,Fold_Mean,Fold_SD,Fold_Min,Fold_Max,Full_Data_Coefficient,Same_Sign_Folds,Sign_Consistency,Abs_Full_Data_Coefficient
Global,vh_hydrophobic,0.1313790767877326,0.018909182898193194,0.10353208988052717,0.15155452798572738,0.13070239482353377,5,1.0,0.13070239482353377
Global,vl_glycine,0.10156137968133087,0.03663706982250623,0.037872370903850115,0.13128930318857704,0.1057118105527449,5,1.0,0.1057118105527449
Global,vh_polar,0.1010151303562042,0.008841295764103793,0.08859136612334044,0.11198817404929128,0.10131767883351897,5,1.0,0.10131767883351897
Global,vh_charge,-0.06993919735574271,0.01749038769935995,-0.08195077578400733,-0.03946840020013378,-0.07085188209957691,5,1.0,0.07085188209957691
Global,vh_aromatic,0.06921542651347341,0.0064294628882481065,0.05884620937575664,0.07388459181869857,0.06953491529121712,5,1.0,0.06953491529121712
Global,vl_hydrophobic,0.06335629943557523,0.021886514534181997,0.031394664569952,0.07986339411290445,0.06768311719071939,5,1.0,0.06768311719071939
Global,vl_aromatic,0.056865467113579184,0.01905778684435856,0.0340374497734081,0.07712110769972332,0.055198295314338695,5,1.0,0.055198295314338695
Global,vl_charge,-0.05168633732779533,0.005497108486015515,-0.05890292154694573,-0.044081802674076735,-0.05334771209237357,5,1.0,0.05334771209237357
Global,vh_proline,0.05188391939840799,0.00841189954428197,0.04269542512692765,0.06193645670343473,0.051571393099814684,5,1.0,0.051571393099814684
Global,vl_polar,0.04222489538597387,0.011267179242872804,0.031667237730115705,0.058454650534581966,0.04670556234561425,5,1.0,0.04670556234561425
Global,vh_glycine,0.0395685701036942,0.011742615036331863,0.027280722955157342,0.05420989458897402,0.04242174984207838,5,1.0,0.04242174984207838
Global,vl_proline,0.03926076774740224,0.013974338262396501,0.02011716787305871,0.05800107854188204,0.03885590581211816,5,1.0,0.03885590581211816
Global,vh_length,0.03562022674237711,0.014123728954104695,0.023408800041419753,0.05841280296798748,0.03507032369834655,5,1.0,0.03507032369834655
Global,vl_length,0.02287799987544065,0.014280867832577317,0.007437261481433145,0.040142375304914206,0.025573411543380827,5,1.0,0.025573411543380827
Global,vl_cysteine,0.022729615132103764,0.0315317023942713,-0.03203187176438267,0.04575229167555324,0.024029373828326962,4,0.8,0.024029373828326962
Region,vh_CDR2_hydrophobic,0.15021596671693202,0.04664038308125479,0.09359536140962232,0.20020499053987284,0.14772417830080092,5,1.0,0.14772417830080092
Region,vl_CDR3_aromatic,0.1338872381367593,0.044218746309452106,0.05863663199071331,0.17221908029288732,0.12986993479170839,5,1.0,0.12986993479170839
Region,vl_FR1_length,-0.08755723562207121,0.05364609254229221,-0.1431615878199014,-0.020689107620229952,-0.09822208778158464,5,1.0,0.09822208778158464
Region,vh_CDR2_aromatic,0.09282305107581432,0.010088222708160533,0.08491970592644024,0.10782550791342406,0.08876676861702146,5,1.0,0.08876676861702146
Region,vh_FR1_glycine,0.07620569604738948,0.06784796701215398,-0.03406322617575775,0.1360609127042986,0.08860612658726716,4,0.8,0.08860612658726716
Region,vl_FR3_aromatic,0.08182523352634855,0.025032641756176574,0.04776677204473744,0.11374116245288983,0.08850799681244208,5,1.0,0.08850799681244208
Region,vh_FR4_charge,-0.08274412803327957,0.02797845374539,-0.12557547991767729,-0.05148247238336252,-0.08752852470621424,5,1.0,0.08752852470621424
Region,vh_CDR1_hydrophobic,0.09097914804837537,0.016867147089149367,0.0756037286517984,0.11628417735362523,0.08569820794639228,5,1.0,0.08569820794639228
Region,vl_FR3_glycine,0.0884631325857577,0.02725033731315155,0.06219126037210422,0.13437494059811578,0.08234063669300476,5,1.0,0.08234063669300476
Region,vh_CDR3_hydrophobic,0.08569139623129769,0.01877295947241454,0.05608821863374235,0.10337469648453632,0.08041157778970452,5,1.0,0.08041157778970452
Region,vh_CDR3_aromatic,0.07233578933419227,0.012741746667031238,0.05441543504101112,0.08587628996593646,0.07963298618797332,5,1.0,0.07963298618797332
Region,vh_CDR3_charge,-0.07847519650438667,0.016183804330077455,-0.08855372715231467,-0.04977415716554352,-0.07744435827736176,5,1.0,0.07744435827736176
Region,vh_FR3_hydrophobic,0.0804335910751063,0.01079987134476251,0.06700081067033165,0.09233318684125892,0.07174194203452434,5,1.0,0.07174194203452434
Region,vl_FR1_proline,0.07254921948635004,0.03955798267684439,0.011167305803530059,0.11307740606779293,0.07089638295827687,5,1.0,0.07089638295827687
Region,vl_CDR2_glycine,0.062048135711220684,0.003955430933023927,0.057145471054560915,0.06562279248204005,0.06598778985199062,5,1.0,0.06598778985199062
Structure,surface_hydrophobicity,0.13275738926663114,0.022217247334406692,0.10672856272019009,0.16421201729949308,0.13307666748003802,5,1.0,0.13307666748003802
Structure,surface_aromaticity,0.059843874540075045,0.009612146724248621,0.04917058701347934,0.07239377160188931,0.0593732411995781,5,1.0,0.0593732411995781
Structure,surface_charge,-0.03994339522372351,0.009181087427459688,-0.05355043358185185,-0.03237692765988054,-0.03997811711549475,5,1.0,0.03997811711549475
Structure,surface_polarity,0.03821947059339638,0.013018584763379413,0.027021624103266688,0.05900452213880928,0.038548156037127315,5,1.0,0.038548156037127315
Structure,total_sasa,0.01714616124490586,0.011960242210752798,-2.3853091515146152e-05,0.030563226854683278,0.017658582498119052,4,0.8,0.017658582498119052
