Target,Representation,Model,Spearman,RMSE
AC_SINS,Global,ElasticNet,0.39299804359703217,8.257211683221636
AC_SINS,Embeddings,ElasticNet,0.3609528818805387,9.548572701054733
AC_SINS,Structure,ElasticNet,0.30700783483147615,8.437304680481327
AC_SINS,Region,ElasticNet,0.3015040835314613,10.05744817245781
AC_SINS,Global,Ridge,0.3942804856006855,8.333571840262012
AC_SINS,Structure,Ridge,0.3010602724265879,8.471105866645736
AC_SINS,Embeddings,Ridge,0.2537566388819254,12.03513183568047
AC_SINS,Region,Ridge,0.2469005127013053,16.578155249234378
HIC,Structure,ElasticNet,0.45825844644983815,0.2972886965279713
HIC,Embeddings,ElasticNet,0.3007123434448119,0.32116014850110186
HIC,Region,ElasticNet,0.2587898965713473,0.3245895330730405
HIC,Global,ElasticNet,0.20970558418977917,0.32881439398879564
HIC,Structure,Ridge,0.4836057253671623,0.2912150164661934
HIC,Region,Ridge,0.44920051692073226,0.4258527264666796
HIC,Global,Ridge,0.4415923119169598,0.31599179746302475
HIC,Embeddings,Ridge,0.371041367687594,0.39162561991665235
