Representation,Feature,Fold_Mean,Fold_SD,Fold_Min,Fold_Max,Full_Data_Coefficient,Same_Sign_Folds,Sign_Consistency,Abs_Full_Data_Coefficient
Global,vh_charge,3.4126334952539907,0.2816376333440285,2.925899072529913,3.645313370560643,3.404453830325177,5,1.0,3.404453830325177
Global,vl_glycine,1.8028368896022884,0.3881389866360306,1.3126692734888878,2.2862002083039883,1.8304695793127554,5,1.0,1.8304695793127554
Global,vl_hydrophobic,1.6057879499325955,0.5361079243669246,1.017867299668777,2.4858989529933253,1.61139776552612,5,1.0,1.61139776552612
Global,vl_charge,1.5233271859943072,0.46562749763006905,0.7848354811062359,2.0238766462761415,1.5981137531742389,5,1.0,1.5981137531742389
Global,vl_polar,1.2176875620327627,0.7504305021652692,0.6137701438219296,2.475588016194758,1.1523103857258339,5,1.0,1.1523103857258339
Global,vh_proline,-0.9552590134038141,0.30591145196131336,-1.36613909971804,-0.5818449897346765,-0.9798608975413322,5,1.0,0.9798608975413322
Global,vh_length,-0.8365840657518697,0.49286208167804985,-1.2892196232580524,-0.17869049163367018,-0.8353891370965617,5,1.0,0.8353891370965617
Global,vh_glycine,0.6553315074164551,0.33249954726140635,0.3703489016896125,1.1934257440821978,0.6446668237395344,5,1.0,0.6446668237395344
Global,vh_aromatic,0.5081184065051415,0.2943742289734118,0.16230267197316925,0.9075413617498651,0.5352244727488051,5,1.0,0.5352244727488051
Global,vh_polar,0.5122618560689347,0.5353529780082129,0.017271647412749228,1.3644714164320928,0.5302354282546928,5,1.0,0.5302354282546928
Global,vl_aromatic,-0.4380526442257657,0.2435007854198445,-0.6995001855255372,-0.12820316740941587,-0.4978606797812424,5,1.0,0.4978606797812424
Global,vl_proline,0.410608600110859,0.4485852626782558,-0.27267874886709526,0.9117178226820337,0.38291573052218886,4,0.8,0.38291573052218886
Global,vh_hydrophobic,-0.301902593093229,0.4589029662015584,-0.7794669258679969,0.16377472808838686,-0.3345920685796199,3,0.6,0.3345920685796199
Global,vl_length,-0.29808942027835605,0.5823399574402789,-0.9044187205213389,0.6035672135541649,-0.30414262727185754,4,0.8,0.30414262727185754
Global,vh_cysteine,-0.260286008797585,0.17457514459703632,-0.43009874768999357,-0.07108336658427308,-0.29480330794426546,5,1.0,0.29480330794426546
Region,vh_FR4_hydrophobic,-2.0649901443400562,1.3387896713226954,-3.6861940639947153,0.03714258262633225,-3.2991549509750824,4,0.8,3.2991549509750824
Region,vh_FR4_polar,-1.6099888250267447,0.9997395343983169,-2.7814412523257097,-0.13050343217077176,-2.8768140836435583,5,1.0,2.8768140836435583
Region,vl_FR1_length,1.461343147760701,1.8129874199956317,-0.6783933000455131,3.487068026487857,2.6642560234166934,3,0.6,2.6642560234166934
Region,vh_CDR3_charge,2.4540464039408953,0.5059749002639524,1.777746227933702,2.9518651778007134,2.4662180573807237,5,1.0,2.4662180573807237
Region,vh_CDR2_charge,2.3127834728231944,0.524716959664379,1.5525043602083477,2.8288811242761884,2.34244622791313,5,1.0,2.34244622791313
Region,vh_FR2_proline,-2.0755185308681146,1.2594457978971716,-3.3934008174159174,-0.3895985079807521,-2.075270398055264,5,1.0,2.075270398055264
Region,vl_CDR3_charge,2.0945195035990336,0.8006389134813391,1.2679648503101533,2.9775507654875404,2.0654790830507403,5,1.0,2.0654790830507403
Region,vl_CDR1_charge,2.0444618171770106,0.9212710421542137,0.4149861528014823,2.6207289799428604,1.8938265024970322,5,1.0,1.8938265024970322
Region,vl_FR4_glycine,2.150878106085386,1.1524309747128625,0.9280512222479418,3.7972981949094766,1.868787823880293,5,1.0,1.868787823880293
Region,vh_FR1_polar,-1.3841399907566347,1.773069110158453,-2.9826798397839114,1.6399440932963205,-1.596778529733921,4,0.8,1.596778529733921
Region,vl_FR1_proline,1.1649237851485634,1.112508963742967,0.11859766688654816,2.632555938664176,1.506475411898715,5,1.0,1.506475411898715
Region,vh_FR3_charge,1.5357881226111245,0.6014333408696286,0.7137466564267158,2.1291294230296844,1.4732248731730864,5,1.0,1.4732248731730864
Region,vh_FR4_glycine,1.135862143355529,0.689006408119566,0.0,1.783360632652063,1.3804149018172562,4,0.8,1.3804149018172562
Region,vh_FR4_proline,-0.8988041577144786,0.47653657116751186,-1.6096451362068593,-0.37955225097932443,-1.3667306775938817,5,1.0,1.3667306775938817
Region,vl_FR1_glycine,0.7875274468160488,2.396068471036812,-2.4434590600492156,4.157105662159248,1.2872118308377016,3,0.6,1.2872118308377016
Structure,surface_charge,3.1104636938512793,0.311667624538138,2.6942882548569567,3.3921603561365448,3.104510966025275,5,1.0,3.104510966025275
Structure,surface_hydrophobicity,0.7388964481596129,0.4718684045904758,0.19487041474675348,1.4532222658764176,0.7812721444483138,5,1.0,0.7812721444483138
Structure,surface_aromaticity,0.5124109139445594,0.16425449757186578,0.35455544525137095,0.7543887292118586,0.47093088245985726,5,1.0,0.47093088245985726
Structure,total_sasa,-0.0863044044831721,0.49002492311079593,-0.6928376457695591,0.46069760084945816,-0.0567198612438722,3,0.6,0.0567198612438722
Structure,surface_polarity,-0.019859225542516196,0.29818067946514687,-0.325078492683049,0.38489158087751035,-0.03947433621329243,3,0.6,0.03947433621329243
