Target,Representation,Model,MeanFold_Spearman,MeanFold_RMSE,Pooled_Spearman,Pooled_RMSE,N_OOF,Spearman_Difference,RMSE_Difference
AC_SINS,Embeddings,ElasticNet,0.3609528818805387,9.548572701054733,0.33725048413011516,9.586374418189964,242,-0.023702397750423543,0.03780171713523117
AC_SINS,Global,ElasticNet,0.39299804359703217,8.257211683221636,0.3548707975470081,8.31961272946737,242,-0.038127246050024044,0.06240104624573384
AC_SINS,Region,ElasticNet,0.3015040835314613,10.05744817245781,0.2794113093386181,10.063257195104155,242,-0.022092774192843223,0.0058090226463445305
AC_SINS,Structure,ElasticNet,0.30700783483147615,8.437304680481327,0.2689946050313956,8.508538711760359,242,-0.03801322980008054,0.07123403127903138
AC_SINS,Embeddings,Ridge,0.2537566388819254,12.03513183568047,0.2610003625726129,12.040409090487639,242,0.007243723690687487,0.005277254807168674
AC_SINS,Global,Ridge,0.3942804856006855,8.333571840262012,0.36273219423651964,8.400102212002876,242,-0.03154829136416587,0.06653037174086407
AC_SINS,Region,Ridge,0.2469005127013053,16.578155249234378,0.22049025985171367,17.616790784030712,242,-0.026410252849591642,1.0386355347963345
AC_SINS,Structure,Ridge,0.3010602724265879,8.471105866645736,0.26872837573480635,8.541437233508894,242,-0.03233189669178155,0.070331366863158
HIC,Embeddings,ElasticNet,0.3007123434448119,0.32116014850110186,0.3032994899657861,0.32654569793789445,242,0.002587146520974193,0.005385549436792592
HIC,Global,ElasticNet,0.20970558418977917,0.32881439398879564,0.15554286838278328,0.33392046114158297,242,-0.05416271580699589,0.00510606715278733
HIC,Region,ElasticNet,0.2587898965713473,0.3245895330730405,0.1980629911747549,0.3292466038043392,242,-0.06072690539659242,0.004657070731298674
HIC,Structure,ElasticNet,0.45825844644983815,0.2972886965279713,0.4672207169310479,0.3003741147857839,242,0.008962270481209733,0.003085418257812611
HIC,Embeddings,Ridge,0.371041367687594,0.39162561991665235,0.3706601903980824,0.39269652384829157,242,-0.0003811772895115917,0.0010709039316392222
HIC,Global,Ridge,0.4415923119169598,0.31599179746302475,0.4218981341512528,0.3204377459455359,242,-0.019694177765706977,0.004445948482511175
HIC,Region,Ridge,0.44920051692073226,0.4258527264666796,0.42389310354470483,0.4278445954065465,242,-0.025307413376027432,0.0019918689398669143
HIC,Structure,Ridge,0.4836057253671623,0.2912150164661934,0.5009285797509546,0.29314624845639564,242,0.01732285438379233,0.0019312319902022312
