,0
vh_FR4_hydrophobic,-3.2991549509750824
vh_FR4_polar,-2.8768140836435583
vl_FR1_length,2.6642560234166934
vh_CDR3_charge,2.4662180573807237
vh_CDR2_charge,2.34244622791313
vh_FR2_proline,-2.075270398055264
vl_CDR3_charge,2.0654790830507403
vl_CDR1_charge,1.8938265024970322
vl_FR4_glycine,1.868787823880293
vh_FR1_polar,-1.596778529733921
vl_FR1_proline,1.506475411898715
vh_FR3_charge,1.4732248731730864
vh_FR4_glycine,1.3804149018172562
vh_FR4_proline,-1.3667306775938817
vl_FR1_glycine,1.2872118308377016
