Target,Representation,Model,Spearman_mean,Spearman_SD,RMSE_mean,RMSE_SD,N_folds
AC_SINS,Embeddings,ElasticNet,0.3609528818805387,0.07918949110397452,9.548572701054734,0.9938488780637421,5
AC_SINS,Embeddings,Ridge,0.2537566388819254,0.1321331226445302,12.035131835680472,1.0918102256351252,5
AC_SINS,Global,ElasticNet,0.39299804359703217,0.16490070602593038,8.257211683221636,1.3760687584704192,5
AC_SINS,Global,Ridge,0.3942804856006855,0.15797206804434188,8.333571840262012,1.4105390108993694,5
AC_SINS,Region,ElasticNet,0.3015040835314613,0.1641639409744475,10.05744817245781,0.8603619046400499,5
AC_SINS,Region,Ridge,0.24690051270130525,0.1523773941488081,16.578155249234378,7.918415194038125,5
AC_SINS,Structure,ElasticNet,0.30700783483147615,0.18535126973109495,8.437304680481326,1.4732159804481144,5
AC_SINS,Structure,Ridge,0.3010602724265879,0.1895646059343269,8.471105866645736,1.478150214898793,5
HIC,Embeddings,ElasticNet,0.3007123434448119,0.0918970995231864,0.32116014850110186,0.07287563057490415,5
HIC,Embeddings,Ridge,0.371041367687594,0.05194644922053284,0.39162561991665235,0.03966256888314993,5
HIC,Global,ElasticNet,0.20970558418977917,0.13583792107901382,0.32881439398879564,0.07170309038880424,5
HIC,Global,Ridge,0.4415923119169598,0.1334570775151348,0.31599179746302475,0.06458946136281046,5
HIC,Region,ElasticNet,0.2587898965713473,0.08994445632279768,0.3245895330730405,0.06857146512967521,5
HIC,Region,Ridge,0.4492005169207324,0.018305736054605764,0.4258527264666796,0.07898550670411268,5
HIC,Structure,ElasticNet,0.4582584464498381,0.11246750338434817,0.2972886965279713,0.053642374824619504,5
HIC,Structure,Ridge,0.4836057253671623,0.1319631064735038,0.2912150164661934,0.0434708978378184,5
