Endpoint,Representation,Feature,Full-data coefficient,Cross-validation mean,Cross-validation SD,Cross-validation minimum,Cross-validation maximum,Folds with consistent sign,Sign consistency
HIC,Global,vh_hydrophobic,0.13070239482353377,0.1313790767877326,0.018909182898193194,0.10353208988052717,0.15155452798572738,5,1.0
HIC,Global,vl_glycine,0.1057118105527449,0.10156137968133087,0.03663706982250623,0.037872370903850115,0.13128930318857704,5,1.0
HIC,Global,vh_polar,0.10131767883351897,0.1010151303562042,0.008841295764103793,0.08859136612334044,0.11198817404929128,5,1.0
HIC,Global,vh_charge,-0.07085188209957691,-0.06993919735574271,0.01749038769935995,-0.08195077578400733,-0.03946840020013378,5,1.0
HIC,Global,vh_aromatic,0.06953491529121712,0.06921542651347341,0.0064294628882481065,0.05884620937575664,0.07388459181869857,5,1.0
HIC,Global,vl_hydrophobic,0.06768311719071939,0.06335629943557523,0.021886514534181997,0.031394664569952,0.07986339411290445,5,1.0
HIC,Global,vl_aromatic,0.055198295314338695,0.056865467113579184,0.01905778684435856,0.0340374497734081,0.07712110769972332,5,1.0
HIC,Global,vl_charge,-0.05334771209237357,-0.05168633732779533,0.005497108486015515,-0.05890292154694573,-0.044081802674076735,5,1.0
HIC,Global,vh_proline,0.051571393099814684,0.05188391939840799,0.00841189954428197,0.04269542512692765,0.06193645670343473,5,1.0
HIC,Global,vl_polar,0.04670556234561425,0.04222489538597387,0.011267179242872804,0.031667237730115705,0.058454650534581966,5,1.0
HIC,Global,vh_glycine,0.04242174984207838,0.0395685701036942,0.011742615036331863,0.027280722955157342,0.05420989458897402,5,1.0
HIC,Global,vl_proline,0.03885590581211816,0.03926076774740224,0.013974338262396501,0.02011716787305871,0.05800107854188204,5,1.0
HIC,Global,vh_length,0.03507032369834655,0.03562022674237711,0.014123728954104695,0.023408800041419753,0.05841280296798748,5,1.0
HIC,Global,vl_length,0.025573411543380827,0.02287799987544065,0.014280867832577317,0.007437261481433145,0.040142375304914206,5,1.0
